polarity,subjectivity,text,category
0.3294270833333333,0.5055555555555555,RT YES honey!!! Ms. . let em have it at last night’s HOT CHOCOLATE NUTCRACKER Gala!!! Love yo…,neutral
0.0,0.1,"RT i remember when my ex boyfriend and i got into an actual fight at cheesecake factory in 2016, he literally looked me in the e…",unhealthy
0.9,0.65,"Proud to have driven kids into poverty. Millions suffering in work poverty,explosion of food banks. One nation Tories at their best.",neutral
0.0,0.0,RT You ever stroked a baby duck to sleep?,healthy
0.6,0.8,"RT Broke: Buying a banana taped to a wall for $120,000 Woke: Eating said banana after it was sold, effectively eating a $120,…",healthy
-0.16666666666666666,0.43333333333333335,RT Yet if I duct tape a banana to a black student’s dormroom door I get 10 years,healthy
-0.10833333333333332,0.5,Not been to Norwich for a few seasons. Weird bunch. We all know VAR is a load of bollocks but watching a bunch of turnip picking Tory bastards protest against it politely is bizarre. Long drive. Worth every tractor overtaking mile. Up the fucking Blades ⚔️ #sufc #twitterblades,healthy
0.0,0.0,Now it’s juice wrld🥺,unhealthy
-0.06000000000000001,0.6,one million different food allergies—to American food. But I survived b/c I understand my body ; my genetics. It isn’t fair to those in need to be stricter. Jesus isn’t a jerk. And cutting benefits will be something he punishes people for—attacking the poor is an attack on God.,neutral
0.0,0.0,RT juice wrld dying form a seizure weeks after the tik tok trend where ppl pretend to have a seizure to one of his songs is so…,unhealthy
0.3181818181818182,0.4772727272727273,RT A new Trump rule will reduce government food safety inspectors in pork plants by 40% and remove most of the remaining…,healthy
-0.75,0.8,RT RIP JUICE U FUCKING LEGEND !,neutral
0.45,0.6,RT Not so much an oath as in fealty to Their Beloved God. And all of them are in line to lick his orange butt.…,healthy
0.024999999999999998,0.3666666666666667,RT Today marks my first year as a food illustrator. I started out with maybe 50 or so followers on this dead account. Neari…,neutral
0.0,0.0,PERIOD. What’s a girl gotta do to get some Wisconsin cheese bites?!,unhealthy
0.0,0.0,RT Waiting patiently for dinner,neutral
0.0,0.0,RT Give us juice WRLD back take Russ instead,unhealthy
0.0,0.0,RT Speedy toe beans,healthy
-0.13333333333333333,0.7333333333333334,RT this sad as fuck rest in love juice wrld 🏆,unhealthy
0.2,0.2,RT juice wrld died from a seizure and people made these about a month ago... that’s really concerning.,unhealthy
0.2,0.2,RT juice wrld died from a seizure and people made these about a month ago... that’s really concerning.,unhealthy
0.0,0.0,even that kitchen thing in the back is orange 😍😍😍😍😍😍😍😍😍,healthy
-0.35000000000000003,0.7333333333333334,RT lil peep died at 21. xxxtentacion died at 20. juice wrld died at 21. bruh dis shit been rough :(,unhealthy
0.06944444444444442,0.3472222222222221,RT So many citizens in #Venezuela resort to trash for their daily meals that even the contaminated food is hard to come by. U…,neutral
0.0,0.0,RT LEGENDS ON REPLAY ALL DAY TODAY RIP JUICE WRLD 😞🙏🏻,neutral
0.125,0.625,RT It’s Sunday Morning.. Your significant other deserves Shrimp ; Grits (with jumbo lump crab meat) 🔥🔥 …,healthy
-0.5,1.0,RT omg i wake up to juice wrld passing away ????????? wtf man omg🥺🥺🥺🥺🥺🥺🥺💔💔💔💔💔,unhealthy
0.0,0.5,RT the shape of pasta definitely changes the taste idc,unhealthy
0.3181818181818182,0.5272727272727272,"New post from at #OccamT: If music be the food of love, rock on",neutral
-0.75,1.0,RT 2017 - we lost peep 2018 - we lost x 2019 - we lost juice all legends who passed away too soon :(,unhealthy
-0.15,0.6666666666666666,"RT I'm ugly, but: 1. I text back in 3sec 2. I'm funny 3. I'll buy you food",neutral
0.0,0.0,RT Me singing this song now that juice WRLD died,unhealthy
0.4,0.4944444444444444,"RT Oh sure, when the banana duct-tapes itself to a wall it’s “a work of art” and “worth $120,000” but when I do it suddenly…",healthy
0.1,1.0,"RT Wow, I can not believe this. Rip my brother juice world 😭😭😭",unhealthy
0.0,0.0,RT rip JUICE WRLD 💔,neutral
0.0,0.0,"stream lights up, watermelon sugar and adore you xx",healthy
-0.39583333333333337,0.6666666666666666,RT Sweets got nasty as I got older. Where the food at!?,neutral
0.0,0.0,he hasn’t texted you back but posted an instagram story about juice world. just give up!,unhealthy
